order_date,order_id,customer_name,segment,country,city,location,product_id,category,product_name,sales,quantity,company_name,expiry_date
2020-01-01,UZ-553061,Nuzhah Ganim,Corporate,Kuwait,Kuwait City,Site,JTS-JX-03087487,Award,IT Support Award,21250.0,17,Tianguis,2022-01-01
2020-01-01,TS-625921,Yushua Bahar,Consumer,Pakistan,Lahore,Site,OFF-AP-10000252,Courses,Graphic Design,1750.0,1,Unknown,2022-01-01
2020-01-01,BZ-621520,Alicia Morris,Consumer,United Kingdom,Warrington,Site,FUR-FU-10002554,Courses,Microsoft Powerpoint,299.0,1,Unknown,2022-01-01
2020-01-01,JV-774093,Budayl Sarraf,Consumer,Pakistan,Lahore,Site,NKY-BR-34151625,Award,HR Award,1499.0,1,Unknown,2022-01-01
2020-01-01,DG-623982,Jay Parkes,Consumer,United Kingdom,Warrington,Site,LEH-QW-75048957,Award,HR Award,1499.0,1,Unknown,2022-01-01
2020-01-01,OM-679456,Abdul-Badi Almasi,Corporate,Pakistan,Lahore,Site,FUR-TA-10001095,Courses,Python,3850.0,11,Giant,2022-01-01
2020-01-01,HG-002377,Sophia Turner,Corporate,United Kingdom,Warrington,Site,OFF-ST-10000060,Award,Microsoft Office Award,45000.0,30,The Flying Bear,2022-01-01
2020-01-01,ZS-910626,Hamidah Mustafa,Consumer,Pakistan,Lahore,Site,LUT-PQ-14762430,Diploma,Executive PA Diploma,4500.0,1,Unknown,2022-01-01
2020-01-01,NU-283763,Elias Tewelde,Corporate,Kenya,Nairobi,Site,OFF-AR-10001446,Award,Microsoft Office Award,13500.0,9,First Choice Garden Maintenance,2022-01-01
2020-01-01,PR-484154,Kidane Berhane,Corporate,Kenya,Nairobi,Site,TEC-PH-10001536,Diploma,Microsoft Office Diploma,75000.0,30,Advansed Teksyztems,2022-01-01
2020-01-01,TM-501652,Sunbul Hajjar,Consumer,Pakistan,Lahore,Site,OFF-BI-10002071,Award,Microsoft Office Award,1500.0,1,Unknown,2022-01-01
2020-01-01,RG-602090,Abaalom Hagos,Corporate,Kenya,Nairobi,Site,TEC-AC-10002637,Diploma,Social Media Diploma,9499.95,5,Environ Architectural Design,2022-01-01
2020-01-01,MT-682601,Asmarina Sebhat,Home Office,Kenya,Nairobi,Site,MVA-RD-41577447,Diploma,IT Support Diploma,28600.0,13,Unknown,2022-01-01
2020-01-01,TB-800750,Elen Hamid,Corporate,Kenya,Nairobi,Site,OFF-PA-10003657,Courses,Graphic Design,7000.0,4,Rogers Food Stores,2022-01-01
2021-01-01,LN-040835,Sebhat Demsas,Consumer,Kenya,Nairobi,Site,FUR-CH-10003968,Courses,Social Media,400.0,1,Unknown,2023-01-01
2021-01-01,VO-913663,Yoonus Nazari,Home Office,Pakistan,Lahore,Site,OFF-PA-10000246,Diploma,HR Diploma,32000.0,20,Unknown,2023-01-01
2021-01-01,KA-626602,Warqa' Salib,Corporate,Pakistan,Lahore,Site,FUR-CH-10002372,Courses,Social Media,11600.0,29,Avant Garde Appraisal,2023-01-01
2021-01-01,JN-255387,Majd al Din Gerges,Corporate,Pakistan,Lahore,Site,OFF-EN-10002312,Courses,Graphic Design,28000.0,16,Afforda Merchant Services,2023-01-01
2021-01-01,SF-781242,Salwa Zogby,Consumer,Pakistan,Lahore,Site,OFF-PA-10001450,Courses,Graphic Design,1750.0,1,Unknown,2023-01-01
2021-01-01,WL-563497,Sabah Nassar,Consumer,Pakistan,Lahore,Site,TMT-VZ-49540825,Courses,ECDL,625.0,1,Unknown,2023-01-01
2021-01-01,SC-875625,Scott Ahmed,Home Office,United Kingdom,Warrington,Site,LFJ-JB-38509931,Courses,Graphic Design,28000.0,16,Unknown,2023-01-01
2021-01-01,KU-554527,Adam Flynn,Corporate,United Kingdom,Warrington,Site,FUR-CH-10000988,Courses,Social Media,8000.0,20,Present Company,2023-01-01
2021-01-01,EP-735952,Reema Sleiman,Consumer,Pakistan,Lahore,Site,FUR-TA-10001857,Courses,Microsoft Access,250.0,1,Unknown,2023-01-01
2021-01-01,TU-160282,Zaynab Sabbagh,Home Office,Pakistan,Lahore,Site,TEC-AC-10001267,Diploma,Freelancer Diploma,57500.0,23,Unknown,2023-01-01
2021-01-01,AI-651289,Kai Bruce,Consumer,United Kingdom,Liverpool,Hub,OFF-PA-10003883,Courses,Graphic Design,1750.0,1,Unknown,2023-01-01
2021-01-01,XV-465352,Tammam Fakhoury,Corporate,Pakistan,Lahore,Site,OFF-ST-10000615,Award,Microsoft Office Award,27000.0,18,Gart Sports,2023-01-01
2021-01-01,IN-975912,Ziad Hanania,Consumer,Pakistan,Lahore,Site,MRS-LM-67928927,Courses,ECDL,625.0,1,Unknown,2023-01-01
2021-01-01,PJ-329997,Adiba Guirguis,Corporate,Pakistan,Lahore,Site,YUM-QQ-96371325,Courses,Graphic Design,8750.0,5,Gene Walter's Marketplace,2023-01-01
2022-01-01,TQ-695008,Yusef Simon,Corporate,Kenya,Nairobi,Site,FUR-TA-10004289,Courses,Excel,5586.0,14,Quality Merchant Services,2024-01-01
2022-01-01,JW-034997,Bethany Wade,Consumer,United Kingdom,Warrington,Site,OFF-ST-10001496,Award,Microsoft Office Award,1500.0,1,Unknown,2024-01-01
2022-01-01,GF-837799,Naomi Lane,Home Office,United Kingdom,Liverpool,Hub,OFF-PA-10001357,Diploma,Social Media Diploma,47499.75,25,Unknown,2024-01-01
2022-01-01,RP-708345,Tewolde Girma,Home Office,Kenya,Nairobi,Site,OFF-BI-10001757,Courses,Executive Assistant Diploma,107973.0,27,Unknown,2024-01-01
2022-01-01,UF-880772,Saba' Nahas,Corporate,Pakistan,Lahore,Site,OFF-LA-10003923,Courses,Graphic Design,40250.0,23,Carl Durfees,2024-01-01
2022-01-01,XQ-878018,Luca Vaughan,Consumer,United Kingdom,Liverpool,Hub,TEC-PH-10003601,Diploma,HR Diploma,1600.0,1,Unknown,2024-01-01
2022-01-01,SK-323430,Louie Taylor,Corporate,United Kingdom,Warrington,Site,OFF-BI-10004632,Courses,Graphic Design,45500.0,26,Wells & Wade,2024-01-01
2022-01-01,PG-269127,Sinit Selam,Home Office,Kenya,Nairobi,Site,OFF-BI-10000050,Award,Microsoft Office Award,43500.0,29,Unknown,2024-01-01
2022-01-01,PR-190388,Fakhry Daher,Consumer,Pakistan,Lahore,Site,TEC-PH-10002170,Diploma,Social Media Diploma,1899.99,1,Unknown,2024-01-01
2022-01-01,YF-289788,Hazim Abadi,Consumer,Pakistan,Lahore,Site,OFF-LA-10002195,Award,Microsoft Office Award,1500.0,1,Unknown,2024-01-01
2022-01-01,IG-560213,Abdul-Qahhar Hadad,Consumer,Pakistan,Lahore,Site,FUR-TA-10004767,Courses,Python,350.0,1,Unknown,2024-01-01
2022-01-01,CX-729634,Reece Fitzgerald,Corporate,United Kingdom,Warrington,Site,OFF-BI-10002353,Courses,Graphic Design,5250.0,3,Walt's IGA,2024-01-01
2020-02-01,IA-930934,Abdul-Sami Bahar,Home Office,Kuwait,Kuwait City,Site,YOM-RQ-31378625,Courses,Graphic Design,22750.0,13,Unknown,2022-02-01
2020-02-01,UZ-818401,Nazim Moghadam,Corporate,Pakistan,Lahore,Site,OFF-BI-10002982,Courses,Graphic Design,24500.0,14,MacMarr Stores,2022-02-01
2020-02-01,AA-250896,Labib Arian,Corporate,Pakistan,Lahore,Site,OFF-BI-10004209,Courses,Executive Assistant Diploma,119970.0,30,Paul's Record Hut,2022-02-01
2020-02-01,IG-804386,Charlotte Jarvis,Consumer,United Kingdom,Warrington,Site,OFF-LA-10001317,Courses,Graphic Design,1750.0,1,Unknown,2022-02-01
2020-02-01,QZ-410121,Ghenet Iggi,Consumer,Kenya,Nairobi,Site,FUR-CH-10002880,Courses,Cloud Architecture,480.0,1,Unknown,2022-02-01
2020-02-01,TK-116670,Hussein Maalouf,Consumer,Pakistan,Lahore,Site,GXS-NW-97754315,Diploma,Executive PA Diploma,4500.0,1,Unknown,2022-02-01
2020-02-01,AW-136257,Abbie Hope,Consumer,United Kingdom,Warrington,Site,OFF-AR-10001149,Courses,Graphic Design,1750.0,1,Unknown,2022-02-01
2020-02-01,DY-924797,Abdul-Wakil Gaber,Consumer,Pakistan,Lahore,Site,TEC-PH-10004833,Diploma,Social Media Diploma,1899.99,1,Unknown,2022-02-01
2020-02-01,OK-378965,'Azzah Samaha,Consumer,Kuwait,Kuwait City,Site,OFF-ST-10001328,Award,Microsoft Office Award,1500.0,1,Unknown,2022-02-01
2020-02-01,PD-511649,Intisaar Essa,Home Office,Pakistan,Lahore,Site,OFF-AR-10001130,Courses,Graphic Design,26250.0,15,Unknown,2022-02-01
2020-02-01,XL-509564,Firas Tahan,Corporate,Pakistan,Lahore,Site,OFF-ST-10001505,Courses,Graphic Design,31500.0,18,Children's Palace,2022-02-01
